"","deprivation_rank","cleanliness_rank","socialmedia_rank"
"1",10,10,2
"2",9,10,5
"3",7,9,3
"4",7,9,5
"5",1,2,3
"6",8,7,3
"7",4,3,1
"8",3,1,3
"9",9,10,5
"10",5,6,2
"11",5,6,5
"12",7,5,5
"13",5,6,1
"14",10,10,3
"15",8,10,3
"16",5,4,2
"17",3,1,4
"18",9,10,4
"19",8,7,4
"20",9,7,2
"21",9,10,1
"22",7,7,4
"23",4,3,5
"24",6,8,3
"25",8,6,5
"26",6,6,3
"27",8,9,2
"28",6,8,3
"29",2,1,4
"30",3,4,4
"31",10,10,1
"32",5,5,3
"33",10,10,3
"34",2,1,5
"35",6,5,1
"36",6,4,1
"37",9,10,1
"38",4,4,3
"39",8,10,2
"40",8,6,3
"41",8,6,1
"42",5,4,5
"43",9,7,2
"44",5,4,2
"45",3,3,5
"46",1,3,4
"47",9,8,5
"48",6,8,5
"49",7,8,1
"50",7,9,3
"51",8,10,5
"52",10,10,1
"53",4,4,1
"54",6,4,4
"55",5,5,5
"56",3,3,1
"57",3,5,1
"58",1,1,4
"59",6,7,2
"60",4,6,3
"61",7,6,1
"62",8,8,2
"63",4,3,4
"64",10,8,5
"65",1,2,2
"66",3,1,5
"67",6,7,5
"68",2,4,2
"69",3,3,2
"70",8,6,5
"71",3,1,1
"72",10,10,4
"73",7,7,5
"74",5,4,4
"75",3,3,5
"76",5,7,2
"77",10,8,4
"78",5,5,4
"79",9,10,5
"80",3,2,1
"81",4,2,3
"82",2,2,1
"83",2,1,4
"84",1,3,3
"85",1,1,4
"86",1,3,2
"87",1,2,3
"88",10,9,3
"89",10,10,4
"90",3,2,5
"91",10,10,1
"92",6,6,3
"93",2,3,5
"94",7,8,4
"95",4,3,1
"96",2,1,1
"97",3,2,3
"98",9,8,4
"99",3,5,5
"100",5,5,4
"101",4,6,1
"102",9,7,5
"103",4,2,4
"104",10,9,1
"105",7,6,4
"106",4,4,3
"107",5,5,1
"108",7,7,2
"109",7,9,1
"110",3,3,2
"111",1,1,3
"112",7,6,5
"113",4,2,2
"114",9,10,4
"115",10,9,4
"116",2,3,5
"117",6,8,5
"118",7,9,2
"119",2,1,1
"120",6,4,1
"121",10,10,3
"122",5,7,3
"123",6,8,1
"124",1,1,2
"125",1,2,1
"126",2,3,2
"127",6,5,5
"128",9,8,4
"129",4,5,1
"130",5,6,5
"131",10,9,1
"132",5,3,3
"133",9,10,4
"134",1,1,2
"135",2,2,1
"136",9,10,2
"137",3,5,1
"138",2,2,5
"139",1,2,1
"140",7,5,2
"141",4,4,4
"142",6,4,4
"143",7,7,4
"144",4,2,5
"145",7,8,1
"146",9,9,3
"147",3,1,2
"148",9,10,4
"149",10,10,4
"150",5,4,4
"151",1,1,1
"152",10,9,2
"153",10,10,3
"154",7,7,3
"155",9,9,5
"156",3,4,1
"157",7,6,1
"158",1,1,5
"159",4,2,2
"160",1,1,2
"161",10,8,5
"162",5,7,3
"163",6,4,1
"164",4,6,4
"165",7,5,5
"166",6,6,3
"167",7,9,4
"168",7,7,2
"169",8,6,5
"170",9,10,5
"171",9,7,5
"172",4,6,5
"173",7,7,2
"174",4,6,2
"175",1,1,4
"176",2,2,1
"177",10,10,4
"178",8,7,3
"179",1,2,3
"180",9,8,3
"181",10,9,5
"182",8,6,3
"183",7,9,3
"184",10,10,5
"185",8,10,5
"186",6,8,2
"187",9,10,2
"188",9,10,3
"189",5,6,1
"190",4,6,3
"191",9,7,3
"192",7,6,5
"193",4,3,4
"194",6,7,1
"195",1,3,2
"196",4,4,4
"197",9,7,3
"198",1,1,5
"199",2,4,5
"200",8,8,2
"201",4,4,2
"202",9,9,3
"203",8,8,5
"204",6,4,5
"205",2,1,2
"206",8,8,2
"207",8,10,5
"208",4,3,4
"209",8,7,1
"210",5,6,4
"211",1,1,4
"212",1,1,3
"213",3,4,3
"214",9,8,2
"215",2,2,2
"216",5,3,2
"217",2,1,4
"218",4,3,2
"219",2,1,1
"220",3,4,4
"221",5,7,4
"222",4,6,5
"223",7,7,4
"224",5,7,2
"225",7,6,4
"226",1,2,3
"227",10,8,2
"228",6,4,3
"229",5,5,4
"230",5,5,5
"231",10,10,2
"232",10,10,5
"233",6,6,3
"234",1,3,5
"235",10,10,3
"236",9,10,4
"237",9,7,2
"238",10,8,3
"239",2,2,1
"240",2,2,4
"241",5,4,5
"242",1,1,2
"243",4,4,5
"244",3,1,2
"245",1,1,2
"246",10,10,2
"247",3,4,2
"248",3,2,5
"249",5,5,2
"250",8,10,4
"251",7,7,4
"252",4,3,5
"253",6,5,1
"254",2,3,3
"255",8,10,2
"256",10,10,1
"257",3,5,3
"258",6,4,5
"259",9,9,2
"260",9,9,4
"261",6,7,3
"262",9,9,5
"263",8,7,1
"264",9,7,2
"265",3,3,5
"266",9,10,4
"267",7,9,5
"268",3,3,2
"269",7,5,1
"270",2,2,2
"271",1,3,1
"272",8,10,3
"273",8,10,5
"274",4,6,2
"275",4,2,3
"276",7,6,1
"277",1,1,5
"278",9,10,5
"279",4,3,1
"280",8,7,2
"281",8,7,4
"282",6,6,1
"283",8,9,4
"284",1,3,1
"285",1,1,5
"286",7,5,5
"287",5,7,2
"288",7,8,1
"289",4,5,4
"290",5,4,3
"291",2,4,2
"292",1,1,1
"293",7,9,4
"294",5,7,2
"295",2,1,2
"296",2,1,4
"297",2,3,2
"298",9,7,1
"299",6,7,1
"300",5,7,2
"301",7,7,5
"302",1,2,1
"303",6,5,4
"304",9,7,2
"305",1,1,2
"306",2,2,4
"307",3,4,3
"308",4,6,4
"309",5,3,1
"310",1,2,2
"311",3,5,1
"312",7,9,5
"313",9,9,1
"314",2,1,4
"315",7,9,4
"316",4,2,3
"317",3,4,5
"318",8,7,2
"319",8,8,2
"320",10,10,2
"321",3,3,3
"322",4,5,3
"323",7,6,1
"324",6,6,1
"325",9,8,2
"326",3,3,3
"327",3,3,2
"328",9,8,5
"329",4,6,5
"330",8,9,3
"331",5,3,2
"332",8,6,3
"333",10,8,4
"334",10,10,2
"335",1,1,2
"336",7,5,4
"337",5,7,5
"338",6,7,4
"339",10,10,1
"340",1,1,5
"341",7,6,3
"342",1,1,1
"343",4,3,5
"344",4,5,5
"345",6,4,5
"346",5,5,1
"347",1,1,3
"348",7,7,1
"349",6,7,4
"350",1,1,5
"351",4,5,2
"352",5,4,1
"353",1,1,2
"354",7,9,1
"355",1,1,1
"356",2,4,3
"357",3,5,5
"358",2,2,3
"359",8,10,3
"360",4,5,5
"361",4,3,1
"362",6,4,1
"363",3,3,3
"364",8,9,1
"365",2,4,4
"366",8,7,5
"367",6,4,1
"368",1,1,4
"369",6,4,3
"370",2,2,1
"371",2,1,5
"372",1,1,4
"373",4,3,3
"374",5,6,1
"375",1,1,4
"376",1,1,5
"377",1,1,5
"378",9,9,3
"379",3,2,1
"380",3,3,1
"381",9,7,4
"382",6,8,3
"383",8,6,3
"384",10,9,2
"385",6,5,5
"386",5,5,2
"387",5,3,1
"388",9,8,3
"389",3,4,3
"390",4,2,2
"391",8,7,5
"392",3,5,1
"393",10,9,5
"394",3,4,2
"395",10,8,4
"396",6,4,4
"397",6,7,2
"398",3,2,3
"399",1,3,2
"400",7,7,1
"401",4,6,2
"402",10,8,1
"403",6,4,1
"404",7,9,3
"405",5,6,2
"406",5,3,3
"407",7,9,5
"408",1,1,1
"409",1,1,5
"410",7,7,5
"411",9,8,5
"412",1,3,3
"413",5,7,4
"414",7,6,1
"415",9,8,5
"416",3,3,3
"417",1,1,1
"418",3,5,3
"419",4,3,2
"420",1,3,5
"421",10,10,5
"422",9,9,3
"423",6,4,4
"424",4,4,2
"425",1,1,2
"426",10,10,1
"427",8,8,4
"428",4,5,1
"429",7,6,1
"430",1,1,4
"431",1,1,4
"432",9,10,3
"433",2,2,2
"434",3,1,4
"435",3,4,1
"436",8,6,3
"437",8,10,1
"438",10,9,5
"439",9,7,1
"440",6,4,5
"441",7,6,1
"442",9,8,3
"443",8,9,1
"444",6,7,3
"445",10,9,3
"446",3,3,5
"447",1,2,3
"448",1,3,2
"449",6,6,4
"450",2,1,3
"451",8,10,5
"452",7,7,5
"453",10,10,1
"454",4,3,2
"455",10,10,2
"456",9,10,1
"457",6,5,2
"458",4,2,1
"459",5,4,3
"460",9,7,4
"461",5,7,3
"462",7,8,4
"463",5,5,2
"464",9,8,1
"465",3,5,3
"466",10,10,5
"467",2,2,3
"468",5,6,4
"469",8,6,4
"470",8,8,3
"471",2,3,3
"472",3,5,2
"473",5,3,1
"474",2,1,4
"475",4,3,2
"476",10,8,1
"477",5,4,1
"478",2,1,5
"479",6,5,3
"480",1,3,1
"481",4,3,3
"482",7,5,2
"483",3,2,3
"484",1,1,4
"485",6,5,4
"486",5,4,2
"487",2,4,1
"488",5,7,3
"489",6,7,3
"490",4,4,2
"491",3,1,2
"492",7,9,2
"493",10,10,2
"494",10,10,1
"495",7,7,5
"496",6,7,1
"497",1,1,4
"498",9,9,4
"499",4,6,5
"500",3,4,3
"501",4,2,2
"502",1,3,5
"503",8,10,1
"504",7,9,4
"505",2,4,2
"506",7,7,1
"507",10,10,5
"508",8,9,1
"509",5,6,3
"510",9,9,1
"511",5,3,4
"512",4,2,1
"513",6,6,1
"514",7,7,1
"515",1,3,4
"516",5,7,2
"517",9,7,2
"518",2,1,5
"519",5,5,2
"520",7,7,5
"521",7,8,3
"522",3,1,2
"523",6,4,3
"524",2,4,5
"525",3,3,4
"526",9,8,5
"527",6,4,4
"528",6,8,5
"529",9,10,5
"530",8,7,3
"531",5,4,4
"532",7,8,3
"533",5,5,1
"534",10,10,5
"535",7,8,3
"536",2,1,3
"537",9,10,4
"538",8,8,1
"539",10,10,4
"540",10,10,2
"541",3,5,2
"542",4,5,3
"543",8,6,5
"544",7,5,4
"545",2,1,3
"546",8,9,4
"547",5,7,2
"548",4,4,2
"549",10,10,2
"550",1,3,3
"551",6,6,4
"552",1,3,2
"553",4,2,2
"554",7,9,2
"555",3,1,1
"556",6,8,2
"557",9,7,4
"558",5,4,2
"559",1,1,5
"560",7,8,1
"561",7,5,1
"562",1,2,4
"563",5,7,1
"564",2,3,3
"565",6,4,5
"566",9,7,4
"567",2,3,4
"568",9,9,5
"569",5,4,3
"570",9,8,5
"571",2,3,1
"572",4,3,4
"573",3,4,5
"574",4,5,2
"575",9,8,1
"576",2,1,4
"577",4,6,2
"578",8,7,4
"579",2,2,5
"580",7,9,1
"581",5,5,4
"582",8,6,5
"583",5,4,5
"584",1,1,5
"585",3,5,2
"586",1,3,5
"587",6,6,4
"588",8,6,5
"589",6,5,3
"590",3,4,3
"591",1,1,3
"592",5,4,2
"593",8,7,3
"594",2,4,4
"595",8,7,4
"596",8,10,3
"597",6,8,2
"598",10,10,2
"599",3,1,4
"600",5,6,4
"601",2,4,3
"602",3,4,5
"603",3,2,3
"604",3,1,2
"605",8,6,4
"606",10,10,4
"607",3,4,3
"608",1,3,5
"609",10,10,5
"610",6,4,5
"611",6,7,4
"612",8,7,1
"613",2,4,5
"614",6,4,3
"615",10,10,4
"616",6,8,3
"617",7,5,3
"618",4,4,2
"619",10,8,1
"620",3,3,2
"621",7,8,2
"622",6,5,1
"623",2,2,5
"624",5,3,4
"625",8,8,2
"626",2,2,1
"627",9,10,1
"628",6,8,2
"629",3,4,4
"630",2,1,3
"631",9,9,5
"632",5,5,5
"633",7,6,4
"634",10,10,4
"635",7,9,3
"636",9,10,4
"637",1,1,3
"638",4,5,3
"639",1,1,2
"640",6,7,4
"641",2,1,3
"642",3,5,2
"643",8,8,5
"644",8,7,3
"645",5,7,1
"646",7,9,1
"647",6,6,1
"648",3,5,5
"649",7,5,2
"650",5,6,4
"651",4,5,2
"652",10,8,5
"653",8,6,3
"654",4,6,5
"655",9,10,5
"656",3,2,5
"657",1,1,2
"658",1,3,4
"659",8,10,1
"660",2,4,2
"661",8,9,4
"662",8,10,3
"663",4,3,3
"664",9,8,2
"665",4,5,2
"666",4,4,5
"667",7,7,3
"668",7,6,2
"669",7,9,1
"670",8,7,5
"671",5,7,5
"672",10,10,4
"673",2,1,2
