"","brothers","police_contact"
"1",3,"Y"
"2",0,"Y"
"3",4,"Y"
"4",2,"N"
"5",0,"Y"
"6",2,"N"
"7",0,"N"
"8",0,"Y"
"9",2,"N"
"10",0,"N"
"11",1,"N"
"12",1,"N"
"13",2,"N"
"14",1,"N"
"15",1,"N"
"16",0,"Y"
"17",2,"Y"
"18",0,"Y"
"19",2,"N"
"20",2,"N"
"21",3,"N"
"22",1,"Y"
"23",2,"N"
"24",3,"N"
"25",0,"N"
"26",3,"N"
"27",1,"N"
"28",2,"N"
"29",1,"Y"
"30",1,"N"
"31",1,"N"
"32",0,"N"
"33",1,"Y"
"34",1,"N"
"35",2,"Y"
"36",0,"N"
"37",1,"N"
"38",0,"N"
"39",0,"N"
"40",2,"N"
"41",0,"Y"
"42",0,"Y"
"43",1,"N"
"44",1,"N"
"45",0,"N"
"46",1,"N"
"47",1,"Y"
"48",2,"N"
"49",1,"N"
"50",2,"N"
"51",0,"N"
"52",1,"N"
"53",1,"N"
"54",0,"N"
"55",3,"N"
"56",2,"N"
"57",0,"N"
"58",1,"N"
"59",3,"Y"
"60",2,"N"
"61",4,"N"
"62",0,"N"
"63",2,"N"
"64",3,"N"
"65",0,"N"
"66",1,"Y"
"67",1,"N"
"68",0,"N"
"69",1,"N"
"70",0,"N"
"71",3,"N"
"72",2,"N"
"73",1,"N"
"74",1,"N"
"75",1,"Y"
"76",1,"N"
"77",1,"N"
"78",1,"N"
"79",1,"Y"
"80",0,"N"
"81",2,"N"
"82",0,"N"
"83",2,"Y"
"84",1,"N"
"85",3,"Y"
"86",2,"N"
"87",2,"N"
"88",2,"Y"
"89",3,"N"
"90",2,"N"
"91",0,"Y"
"92",2,"N"
"93",1,"Y"
"94",2,"Y"
"95",0,"N"
"96",0,"N"
"97",1,"Y"
"98",2,"N"
"99",1,"N"
"100",0,"N"
"101",1,"N"
"102",2,"N"
"103",0,"Y"
"104",0,"Y"
"105",0,"Y"
"106",0,"N"
"107",0,"N"
"108",3,"Y"
"109",1,"N"
"110",0,"N"
"111",0,"Y"
"112",1,"N"
"113",1,"N"
"114",0,"N"
"115",2,"N"
"116",2,"N"
"117",1,"Y"
"118",0,"N"
"119",1,"N"
"120",0,"Y"
"121",2,"Y"
"122",0,"N"
"123",0,"N"
"124",1,"N"
"125",2,"N"
"126",2,"N"
"127",1,"Y"
"128",1,"N"
"129",2,"N"
"130",1,"N"
"131",0,"N"
"132",0,"Y"
"133",1,"Y"
"134",2,"N"
"135",3,"Y"
"136",1,"N"
"137",0,"Y"
"138",1,"Y"
"139",1,"Y"
"140",2,"Y"
"141",3,"N"
"142",0,"Y"
"143",1,"Y"
"144",0,"N"
"145",1,"N"
"146",0,"Y"
"147",4,"N"
"148",3,"N"
"149",1,"N"
"150",2,"N"
"151",3,"Y"
"152",0,"N"
"153",0,"N"
"154",2,"Y"
"155",2,"N"
"156",1,"N"
"157",0,"N"
"158",0,"N"
"159",0,"N"
"160",1,"Y"
"161",1,"Y"
"162",1,"N"
"163",1,"N"
"164",0,"Y"
"165",1,"N"
"166",0,"N"
"167",1,"Y"
"168",0,"Y"
"169",0,"N"
"170",0,"Y"
"171",0,"N"
"172",0,"N"
"173",1,"N"
"174",2,"N"
"175",1,"N"
"176",1,"N"
"177",0,"Y"
"178",0,"N"
"179",0,"N"
"180",1,"N"
"181",2,"Y"
"182",2,"Y"
"183",1,"Y"
"184",1,"N"
"185",1,"Y"
"186",2,"Y"
"187",1,"Y"
"188",0,"N"
"189",1,"N"
"190",1,"N"
"191",2,"N"
"192",1,"N"
"193",2,"Y"
"194",1,"N"
"195",2,"N"
"196",5,"Y"
"197",0,"N"
"198",1,"N"
"199",0,"N"
"200",1,"Y"
"201",0,"Y"
"202",1,"N"
"203",0,"N"
"204",0,"N"
"205",0,"Y"
"206",1,"N"
"207",1,"N"
"208",0,"N"
"209",0,"Y"
"210",0,"N"
"211",2,"Y"
"212",1,"Y"
"213",1,"Y"
"214",1,"N"
"215",0,"Y"
"216",1,"N"
"217",2,"N"
"218",1,"N"
"219",2,"N"
"220",1,"N"
"221",1,"N"
"222",1,"N"
"223",1,"N"
"224",2,"Y"
"225",1,"N"
"226",1,"N"
"227",3,"N"
"228",1,"N"
"229",0,"N"
"230",1,"N"
"231",1,"N"
"232",2,"N"
"233",2,"Y"
"234",0,"N"
"235",0,"N"
"236",0,"N"
"237",0,"N"
"238",0,"N"
"239",1,"N"
"240",0,"Y"
"241",0,"N"
"242",1,"Y"
"243",1,"N"
"244",0,"Y"
"245",0,"N"
"246",3,"N"
"247",2,"N"
"248",1,"Y"
"249",1,"N"
"250",1,"N"
"251",0,"Y"
"252",1,"N"
"253",2,"N"
"254",0,"N"
"255",0,"N"
"256",0,"Y"
"257",0,"N"
"258",1,"Y"
"259",1,"N"
"260",1,"Y"
"261",2,"N"
"262",2,"Y"
"263",2,"N"
"264",0,"N"
"265",0,"N"
"266",1,"N"
"267",3,"N"
"268",1,"Y"
"269",1,"N"
"270",0,"N"
"271",0,"N"
"272",1,"N"
"273",0,"Y"
"274",1,"N"
"275",2,"N"
"276",2,"Y"
"277",2,"N"
"278",1,"Y"
"279",1,"Y"
"280",0,"N"
"281",1,"N"
"282",0,"N"
"283",1,"N"
"284",1,"Y"
"285",1,"Y"
"286",2,"N"
"287",1,"N"
"288",2,"N"
"289",1,"N"
"290",0,"Y"
"291",0,"Y"
"292",0,"N"
"293",0,"Y"
"294",0,"Y"
"295",2,"Y"
"296",1,"N"
"297",1,"N"
"298",1,"N"
"299",0,"N"
"300",1,"N"
"301",2,"N"
"302",1,"N"
"303",0,"N"
"304",4,"Y"
"305",1,"Y"
"306",1,"N"
"307",2,"N"
"308",0,"Y"
"309",0,"Y"
"310",2,"N"
"311",0,"N"
"312",0,"N"
"313",0,"Y"
"314",1,"Y"
"315",1,"Y"
"316",0,"N"
"317",0,"Y"
"318",0,"N"
"319",2,"N"
"320",0,"Y"
"321",1,"N"
"322",0,"Y"
"323",1,"Y"
"324",2,"Y"
"325",4,"Y"
"326",0,"N"
"327",0,"Y"
"328",1,"Y"
"329",0,"N"
"330",2,"N"
"331",3,"Y"
"332",0,"Y"
"333",2,"N"
"334",0,"N"
"335",1,"N"
"336",0,"Y"
"337",1,"Y"
"338",0,"N"
"339",1,"N"
"340",3,"N"
"341",2,"N"
"342",0,"N"
"343",1,"N"
"344",0,"N"
"345",2,"N"
"346",3,"Y"
"347",1,"N"
"348",2,"N"
"349",1,"N"
"350",0,"N"
"351",1,"N"
"352",1,"N"
"353",1,"Y"
"354",3,"Y"
"355",1,"N"
"356",2,"N"
"357",2,"N"
"358",0,"N"
"359",1,"N"
"360",2,"N"
"361",1,"Y"
"362",0,"N"
"363",2,"N"
"364",1,"N"
"365",1,"Y"
"366",1,"Y"
"367",1,"N"
"368",2,"Y"
"369",1,"N"
"370",2,"N"
"371",1,"N"
"372",0,"N"
"373",0,"N"
"374",2,"N"
"375",0,"N"
"376",1,"Y"
"377",1,"N"
"378",1,"Y"
"379",0,"Y"
"380",2,"Y"
"381",1,"N"
"382",1,"N"
"383",1,"N"
"384",0,"N"
"385",0,"N"
"386",1,"Y"
"387",2,"N"
"388",2,"Y"
"389",1,"Y"
"390",2,"N"
"391",2,"N"
"392",2,"Y"
"393",0,"N"
"394",0,"N"
"395",1,"Y"
"396",0,"N"
"397",2,"N"
"398",1,"N"
"399",2,"Y"
"400",1,"N"
"401",0,"N"
"402",2,"N"
"403",1,"N"
"404",1,"N"
"405",2,"N"
"406",0,"Y"
