"User_ID","Gender","Age","Marital_Status","Purchase"
1001203,"F","26-35","single",6989
1003681,"M","26-35","single",19501
1003054,"M","18-25","married",5178
1004689,"M","18-25","single",8643
1001449,"M","36-45","married",5396
1001846,"M","46-50","single",7085
1002941,"M","36-45","married",5990
1000847,"F","26-35","married",3515
1003288,"M","26-35","single",8066
1003985,"M","46-50","married",5262
1002258,"F","18-25","single",13018
1004592,"M","18-25","single",7888
1001498,"M","18-25","single",19684
1003020,"F","36-45","single",7782
1003311,"M","26-35","single",5400
1001505,"M","51-55","married",5944
1001968,"M","26-35","single",4394
1003481,"M","18-25","married",2379
1004060,"M","26-35","married",15647
1000639,"M","46-50","married",7951
1001920,"F","36-45","single",15702
1003391,"M","18-25","single",8868
1003689,"M","26-35","married",8053
1001267,"M","26-35","single",3971
1000553,"M","26-35","single",7019
1000314,"F","55+","single",10022
1005637,"M","0-17","single",9757
1004647,"M","36-45","married",7933
1001687,"M","26-35","single",7026
1003706,"M","26-35","married",3726
1001837,"M","26-35","single",8884
1001613,"M","18-25","single",2826
1001701,"F","26-35","single",7122
1004043,"F","26-35","single",15287
1001951,"F","18-25","single",10717
1001120,"M","18-25","married",8031
1004825,"M","26-35","single",6144
1004053,"M","26-35","single",4077
1006040,"M","26-35","single",20985
1003729,"M","18-25","single",3698
1005153,"M","26-35","single",7810
1002742,"M","26-35","single",4133
1005465,"F","26-35","married",3430
1003131,"F","26-35","married",5429
1003868,"M","18-25","single",20450
1003784,"F","26-35","single",3454
1001404,"M","51-55","married",5338
1000813,"M","18-25","married",5337
1000082,"M","26-35","married",11697
1001297,"M","26-35","single",5147
1005357,"F","18-25","married",15859
1001298,"M","36-45","single",11479
1001415,"M","46-50","single",5150
1002731,"M","36-45","single",3814
1004082,"M","26-35","single",7778
1003940,"M","36-45","married",3717
1002269,"F","46-50","married",19266
1005550,"M","36-45","single",15522
1002847,"M","18-25","single",7639
1000146,"F","36-45","married",5255
1005340,"F","51-55","married",5842
1002276,"M","55+","married",7858
1001285,"M","36-45","married",8057
1004117,"M","18-25","single",15387
1002978,"M","36-45","single",6918
1000549,"M","26-35","single",23551
1003311,"M","26-35","single",6114
1003503,"M","18-25","single",8643
1003428,"M","46-50","married",9951
1004007,"M","36-45","married",6076
1001489,"F","36-45","married",6954
1004422,"M","26-35","married",3096
1004344,"M","26-35","single",8069
1001017,"M","36-45","single",4674
1000881,"M","18-25","single",3611
1005000,"M","26-35","single",6943
1004154,"M","26-35","married",9719
1000601,"F","18-25","married",8694
1003094,"M","36-45","single",5181
1004764,"M","0-17","single",7190
1003040,"M","26-35","single",18985
1002203,"M","46-50","married",11929
1002106,"F","18-25","married",9791
1002624,"F","36-45","married",15513
1000002,"M","55+","single",15699
1000822,"F","26-35","married",8213
1001297,"M","26-35","single",4482
1002793,"M","36-45","single",10024
1000850,"M","36-45","married",15208
1003888,"M","46-50","married",3640
1002928,"M","26-35","married",3477
1003154,"F","26-35","single",18988
1001125,"F","18-25","single",11738
1001843,"M","26-35","single",8646
1003562,"F","26-35","single",3444
1002760,"M","55+","single",8904
1005869,"F","26-35","married",8243
1004409,"M","26-35","married",3495
1004940,"F","51-55","single",1389
1005827,"M","26-35","single",18989
1002084,"M","18-25","single",16248
1003682,"F","51-55","single",8882
1001635,"M","26-35","single",13322
1004390,"M","26-35","single",15256
1002918,"M","26-35","single",8764
1002411,"F","36-45","single",7162
1002280,"M","55+","married",12973
1000454,"M","26-35","married",6006
1001631,"F","51-55","single",15783
1000984,"M","51-55","married",5476
1001286,"M","36-45","single",3460
1001019,"M","36-45","married",4374
1001891,"M","46-50","married",9748
1001019,"M","36-45","married",1982
1002203,"M","46-50","married",18838
1004180,"M","55+","married",16259
1002223,"M","26-35","married",7008
1003715,"M","18-25","single",4080
1005277,"M","26-35","single",16479
1002010,"M","18-25","single",11632
1003654,"M","26-35","married",1872
1001168,"F","26-35","married",12023
1001883,"F","51-55","married",7025
1001356,"F","18-25","single",11584
1005397,"M","18-25","married",5480
1003294,"M","18-25","single",15660
1005654,"M","26-35","married",9968
1002440,"M","51-55","married",5919
1004060,"M","26-35","married",11405
1005029,"M","26-35","married",20001
1000976,"M","36-45","married",7102
1005994,"M","36-45","married",12006
1004013,"M","26-35","married",8186
1001112,"M","18-25","single",7152
1003546,"M","26-35","single",8249
1001676,"M","18-25","single",7164
1000314,"F","55+","single",7825
1005250,"M","51-55","married",8649
1003652,"M","26-35","single",11625
1004312,"M","26-35","married",7021
1000022,"M","18-25","single",5461
1004207,"M","36-45","single",16355
1001507,"M","36-45","single",10882
1003769,"M","26-35","single",7860
1001943,"M","18-25","single",10906
1003807,"F","36-45","single",8696
1000999,"M","26-35","single",15251
1001212,"F","51-55","single",15976
1002419,"M","26-35","married",5265
1000635,"M","55+","married",13223
1002205,"F","26-35","married",11905
1001912,"M","26-35","married",4172
1000457,"M","18-25","single",6129
1004277,"M","36-45","single",5330
1003625,"M","18-25","single",11830
1004508,"M","26-35","single",11959
1001203,"F","26-35","single",9969
1000566,"M","26-35","single",10743
1001222,"M","36-45","single",2141
1000550,"M","46-50","married",19550
1005458,"F","18-25","single",6921
1003846,"M","36-45","single",6971
1002507,"M","26-35","married",9644
1005949,"M","18-25","married",5208
1002504,"M","26-35","married",15947
1002676,"M","55+","married",3053
1000010,"F","36-45","married",10003
1001059,"F","26-35","single",10626
1000604,"M","46-50","married",15418
1004867,"M","26-35","single",13427
1002010,"M","18-25","single",11681
1002436,"M","26-35","single",11724
1003981,"F","46-50","married",5321
1001667,"M","51-55","single",15213
1002679,"F","18-25","single",8091
1004958,"M","18-25","single",8750
1001333,"M","26-35","single",4143
1001343,"M","36-45","single",8660
1005530,"F","18-25","single",10043
1001372,"M","0-17","single",12050
1005097,"M","55+","single",8016
1003967,"F","18-25","single",6936
1001987,"M","26-35","single",3753
1000796,"M","51-55","married",3749
1001140,"F","46-50","married",1410
1000711,"M","26-35","single",5902
1003491,"M","26-35","single",6886
1001675,"F","26-35","married",15309
1004274,"F","46-50","married",6069
1003878,"M","36-45","single",3962
1004015,"F","46-50","married",7100
1000195,"M","26-35","married",9723
1001273,"M","36-45","married",5294
1000899,"F","26-35","married",5318
1003217,"F","36-45","single",7853
1004265,"M","26-35","single",5917
1000702,"M","36-45","married",8129
1003221,"M","26-35","single",19586
1005915,"M","18-25","single",11775
1002318,"M","55+","married",2019
1003793,"M","18-25","single",7086
1004725,"M","36-45","single",15725
1004510,"M","46-50","married",8247
1005749,"M","26-35","married",19639
1004008,"M","18-25","married",19663
1002130,"M","46-50","married",7050
1000429,"M","18-25","single",7908
1000793,"F","36-45","single",2803
1006007,"M","36-45","single",8705
1003808,"M","26-35","married",1934
1004954,"M","46-50","married",3700
1003336,"M","36-45","married",5935
1001448,"F","26-35","single",19102
1000345,"M","26-35","married",8100
1004812,"M","18-25","single",11911
1005371,"M","26-35","single",8329
1001802,"M","18-25","single",7985
1005662,"M","0-17","single",8318
1003576,"M","51-55","married",5889
1000965,"M","55+","married",16303
1005916,"M","51-55","married",2386
1004698,"F","26-35","married",20761
1002685,"M","46-50","married",3570
1004291,"M","36-45","single",11455
1003414,"M","26-35","married",15212
1003391,"M","18-25","single",15417
1005664,"M","18-25","single",8792
1005599,"M","36-45","single",10007
1001916,"M","46-50","single",7973
1004026,"M","26-35","single",5232
1000746,"F","18-25","single",11647
1003971,"F","18-25","single",6906
1004869,"F","46-50","married",707
1001701,"F","26-35","single",6127
1005752,"F","55+","married",11811
1002219,"M","26-35","single",15876
1002966,"F","26-35","single",8884
1001184,"F","26-35","married",19708
1005163,"M","46-50","married",11671
1002090,"M","36-45","single",3683
1000204,"M","26-35","married",6867
1002793,"M","36-45","single",6049
1003569,"F","18-25","single",11739
1005711,"M","26-35","single",11515
1005111,"M","36-45","married",12450
1006007,"M","36-45","single",14724
1004386,"M","26-35","single",4811
1002181,"M","26-35","married",7052
1005972,"F","26-35","single",6863
1005891,"M","18-25","single",16723
1003471,"M","18-25","single",6044
1003292,"F","51-55","single",3065
1003196,"F","18-25","single",6025
1005000,"M","26-35","single",16242
1003432,"M","26-35","single",7798
1003333,"M","18-25","single",15484
1000780,"M","26-35","single",5295
1001851,"M","26-35","married",15754
1003559,"M","18-25","single",3540
1003056,"M","26-35","married",15499
1003481,"M","18-25","married",7892
1000272,"M","18-25","single",9793
1001634,"F","55+","single",6027
1001891,"M","46-50","married",15464
1002188,"F","18-25","single",8572
1003989,"M","51-55","married",9841
1005026,"M","26-35","married",10642
1000020,"M","26-35","single",7039
1000945,"M","46-50","single",15674
1003576,"M","51-55","married",15327
1003062,"M","18-25","single",14705
1003453,"M","36-45","single",7893
1003932,"M","26-35","married",3499
1000543,"M","26-35","married",7031
1001264,"M","26-35","single",5373
1005059,"M","46-50","married",15819
1002233,"F","36-45","married",13272
1005852,"F","26-35","married",8098
1002127,"M","18-25","married",9829
1001709,"M","26-35","married",7018
1001666,"M","26-35","single",7190
1001920,"F","36-45","single",8414
1000973,"F","26-35","married",1905
1001679,"M","26-35","married",5176
1004156,"M","55+","single",15845
1004855,"M","26-35","single",3633
1005550,"M","36-45","single",6904
1002967,"M","26-35","single",12363
1001680,"M","26-35","married",9744
1005744,"F","26-35","single",9756
1002419,"M","26-35","married",7767
1005096,"M","26-35","single",7776
1003359,"M","26-35","single",6934
1003197,"F","18-25","single",2107
1004867,"M","26-35","single",10943
1003224,"F","26-35","married",15909
1002222,"F","46-50","married",8872
1005213,"M","18-25","single",5268
1000970,"M","26-35","married",13308
1001466,"M","18-25","married",12117
1003736,"M","36-45","married",12008
1003222,"M","36-45","married",13835
1000023,"M","36-45","married",9958
1002681,"F","26-35","single",3508
1002427,"F","26-35","single",8015
1002777,"M","18-25","single",1745
1005025,"M","26-35","single",12173
1002266,"F","51-55","married",7551
1001320,"M","26-35","single",11788
1002868,"M","36-45","single",8590
1005770,"M","26-35","married",9975
1005517,"M","55+","married",12141
1005431,"M","55+","married",8721
1005990,"F","26-35","married",6040
1004253,"M","46-50","single",10908
1001837,"M","26-35","single",5913
1001794,"M","26-35","single",11826
1005483,"F","26-35","single",6065
1000343,"F","36-45","single",8784
1004826,"M","46-50","married",15416
1001696,"M","36-45","single",19098
1004821,"M","18-25","single",8119
1004890,"F","26-35","single",3288
1002583,"M","36-45","single",19063
1001233,"F","46-50","married",6886
1001776,"M","26-35","married",9994
1002849,"M","46-50","single",6940
1002072,"F","51-55","single",10516
1005504,"M","46-50","married",13304
1001733,"M","18-25","married",2990
1003120,"M","18-25","married",16772
1004470,"M","36-45","married",19304
1004418,"F","51-55","single",7179
1001836,"M","26-35","single",6002
1004213,"M","36-45","single",15202
1002188,"F","18-25","single",11521
1001347,"F","18-25","single",3497
1003498,"M","26-35","single",20362
1003283,"M","36-45","married",15970
1000303,"M","26-35","married",9860
1001658,"F","36-45","single",7835
1002288,"M","0-17","single",8119
1000971,"M","26-35","married",8086
1002907,"F","36-45","single",11626
1001135,"M","51-55","married",11987
1005269,"M","18-25","single",3470
1003426,"M","26-35","single",9985
1004344,"M","26-35","single",12745
1000561,"F","18-25","married",2181
1004514,"M","18-25","married",8839
1005124,"M","36-45","single",6128
1003618,"M","55+","married",5201
1001741,"M","36-45","married",8295
1000550,"M","46-50","married",5935
1004041,"M","18-25","single",7665
1003012,"M","26-35","married",11405
1003976,"F","26-35","single",5171
1004302,"M","51-55","single",16304
1000855,"F","18-25","married",8316
1000979,"M","0-17","single",10580
1005776,"M","18-25","married",7804
1000543,"M","26-35","married",19633
1002670,"M","36-45","single",5423
1000026,"M","26-35","married",9942
1000202,"M","18-25","single",3428
1005658,"M","55+","married",7111
1003220,"M","36-45","married",7849
1003390,"F","46-50","married",7931
1003711,"M","36-45","married",20147
1000531,"F","18-25","single",2759
1003414,"M","26-35","married",15299
1001343,"M","36-45","single",18982
1003367,"M","51-55","married",7764
1002084,"M","18-25","single",16397
1004466,"M","36-45","single",15300
1001702,"M","18-25","single",7909
1003147,"M","26-35","single",11014
1002064,"M","36-45","single",20504
1001135,"M","51-55","married",8821
1003394,"M","36-45","single",10029
1002419,"M","26-35","married",12022
1001297,"M","26-35","single",3476
1005469,"M","36-45","single",20470
1001980,"M","36-45","single",7050
1005300,"M","26-35","single",8735
1001291,"F","36-45","single",5845
1005070,"M","26-35","single",2107
1003012,"M","26-35","married",5970
1005361,"F","51-55","single",12059
1003641,"M","26-35","single",4671
1001943,"M","18-25","single",11654
1005107,"F","46-50","single",7963
1002668,"F","26-35","married",6176
1001376,"F","46-50","married",15510
1001516,"F","26-35","single",11555
1004007,"M","36-45","married",4408
1003654,"M","26-35","married",15578
1000319,"F","51-55","married",5173
1004831,"F","26-35","single",16522
1000629,"F","0-17","single",9913
1000659,"F","26-35","single",11383
1004277,"M","36-45","single",9711
1004882,"M","46-50","married",19227
1000798,"F","26-35","married",1581
1004644,"M","51-55","single",6946
1001273,"M","36-45","married",15196
1003590,"F","18-25","single",961
1006030,"M","26-35","married",19073
1003142,"M","26-35","single",7824
1005378,"M","36-45","single",16368
1003933,"F","36-45","single",13312
1004390,"M","26-35","single",3556
1004344,"M","26-35","single",6097
1003837,"M","26-35","single",12119
1002804,"F","36-45","single",12062
1003576,"M","51-55","married",8225
1005646,"M","18-25","single",5352
1004117,"M","18-25","single",19006
1002973,"F","18-25","single",6007
1005787,"M","26-35","single",16273
1000752,"F","26-35","single",7796
1000755,"F","36-45","married",10018
1000188,"M","55+","single",8045
1005039,"F","36-45","married",4298
1002529,"F","36-45","single",5373
1004088,"M","26-35","married",7061
1003361,"M","26-35","single",11582
1004535,"M","18-25","single",6992
1004344,"M","26-35","single",7835
1000272,"M","18-25","single",16255
1001938,"F","26-35","married",3808
1005333,"F","26-35","single",10020
1003842,"F","36-45","single",7160
1000402,"M","26-35","married",16155
1001264,"M","26-35","single",12736
1001561,"F","18-25","single",5882
1003050,"M","36-45","single",15638
1005326,"M","26-35","married",16073
1003197,"F","18-25","single",5330
1001434,"F","0-17","single",5318
1005000,"M","26-35","single",8014
1000735,"M","26-35","single",5335
1000457,"M","18-25","single",8705
1002059,"M","36-45","single",19380
1003457,"M","26-35","single",16522
1002022,"M","26-35","single",11452
1003998,"M","46-50","married",7639
1004362,"M","26-35","single",10058
1002926,"F","18-25","single",5964
1005394,"M","18-25","single",11620
1004634,"M","51-55","married",19665
1002402,"M","46-50","single",11669
1005070,"M","26-35","single",5329
1005894,"M","36-45","single",15194
1002338,"M","46-50","married",9861
1002225,"M","26-35","married",555
1002764,"M","26-35","single",7911
1000881,"M","18-25","single",5328
1005005,"M","46-50","single",5418
1002109,"M","26-35","single",20492
1004234,"F","46-50","single",6911
1001141,"F","26-35","married",2140
1000198,"M","26-35","married",5327
1004585,"M","36-45","single",17320
1002565,"M","36-45","single",10072
1005530,"F","18-25","single",5435
1003518,"F","18-25","single",7761
1000495,"M","18-25","single",6621
1002807,"F","36-45","married",5340
1004351,"M","26-35","single",19141
1003182,"M","26-35","married",8167
1000004,"M","46-50","married",19120
1002555,"M","55+","single",8014
1004349,"M","18-25","single",2161
1003266,"F","26-35","single",5946
1004022,"M","36-45","married",11628
1005765,"M","26-35","married",9852
1003410,"M","36-45","married",23906
1002857,"M","26-35","single",9657
1001397,"M","36-45","married",11851
1001470,"M","18-25","married",6198
1000780,"M","26-35","single",6093
1000264,"M","36-45","married",9881
1004612,"F","18-25","married",8856
1001883,"F","51-55","married",5871
1005795,"M","26-35","married",753
1003328,"M","55+","married",8170
1001740,"M","55+","single",16640
1003731,"M","26-35","single",11818
1003624,"M","26-35","married",8364
