Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2018-07-31T23:05:00+00:00,False,,51.551191,0.045721,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person and Vehicle search,2018-07-31T23:10:00+00:00,False,,51.426014,-0.070004,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,
Person and Vehicle search,2018-07-31T23:10:00+00:00,False,,51.527324,-0.029393,Male,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2018-07-31T23:12:00+00:00,False,,51.612131,-0.067117,Male,over 34,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,
Person and Vehicle search,2018-07-31T23:15:00+00:00,False,,51.467243,-0.114064,Male,,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,
Person and Vehicle search,2018-07-31T23:15:00+00:00,False,,51.536937,-0.304433,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,
Person search,2018-07-31T23:30:00+00:00,False,,51.407614,-0.010244,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,
Person search,2018-07-31T23:40:00+00:00,False,,51.412176,-0.303775,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,
Person search,2018-07-31T23:40:00+00:00,False,,51.590902,-0.148128,Male,,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,
Person and Vehicle search,2018-07-31T23:43:00+00:00,False,,51.356783,-0.305707,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Firearms Act 1968 (section 47),Firearms,Arrest,,
Person and Vehicle search,2018-07-31T23:45:00+00:00,False,,51.526201,-0.076021,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,
Person and Vehicle search,2018-07-31T23:45:00+00:00,False,,51.526201,-0.076021,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,
Person search,2018-07-31T23:45:00+00:00,False,,51.490519,-0.061880,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2018-07-31T23:50:00+00:00,False,,51.335980,0.029881,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,
Person search,2018-07-31T23:50:00+00:00,False,,51.590902,-0.148128,Female,10-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2018-07-31T23:50:00+00:00,False,,51.590902,-0.148128,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,
Person search,2018-08-01T00:00:00+00:00,False,,51.524575,-0.169402,Male,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,
Person search,2018-08-01T00:10:00+00:00,False,,51.461172,-0.115667,Male,,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person and Vehicle search,2018-08-01T00:10:00+00:00,False,,51.529962,-0.057610,Male,25-34,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Vehicle search,2018-08-01T00:10:00+00:00,False,,51.529962,-0.057610,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person and Vehicle search,2018-08-01T00:10:00+00:00,False,,51.529962,-0.057610,Male,10-17,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2018-08-01T00:25:00+00:00,False,,51.591528,-0.108430,Male,18-24,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Community resolution,,
Person search,2018-08-01T00:37:00+00:00,False,,51.612762,-0.181484,Male,18-24,Asian/Asian British - Pakistani,Other,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,
Person and Vehicle search,2018-08-01T00:40:00+00:00,False,,51.471346,-0.395820,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Penalty Notice for Disorder,,
Person search,2018-08-01T00:50:00+00:00,False,,51.448264,-0.130058,Male,10-17,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2018-08-01T00:50:00+00:00,False,,51.448264,-0.130058,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2018-08-01T00:54:00+00:00,False,,51.471346,-0.395820,Male,25-34,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Caution (simple or conditional),,
Person search,2018-08-01T00:55:00+00:00,False,,51.398906,-0.098374,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,
Person search,2018-08-01T00:59:00+00:00,False,,51.473855,-0.071111,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,
Person search,2018-08-01T01:00:00+00:00,False,,51.398906,-0.098374,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,
Person search,2018-08-01T01:00:00+00:00,False,,51.484428,-0.124719,Male,over 34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2018-08-01T01:01:00+00:00,False,,51.557852,-0.197048,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2018-08-01T01:02:00+00:00,False,,51.474047,-0.063082,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,
Person search,2018-08-01T01:15:00+00:00,False,,51.500769,-0.119222,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,
Person search,2018-08-01T01:24:00+00:00,False,,51.471346,-0.395820,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Penalty Notice for Disorder,,
Person search,2018-08-01T01:40:00+00:00,False,,51.545932,-0.295979,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,
Person search,2018-08-01T01:50:00+00:00,False,,51.455196,-0.113107,Male,over 34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,
Person search,2018-08-01T01:55:00+00:00,False,,51.455196,-0.113107,Male,over 34,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2018-08-01T02:00:00+00:00,False,,51.485486,-0.123379,Male,10-17,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2018-08-01T02:00:00+00:00,False,,51.485486,-0.123379,Male,10-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,
Person search,2018-08-01T02:00:00+00:00,False,,51.485486,-0.123379,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2018-08-01T02:10:00+00:00,False,,51.504244,-0.333514,Male,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,
Person search,2018-08-01T02:10:00+00:00,False,,51.498473,0.004747,Female,18-24,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Penalty Notice for Disorder,,
Person and Vehicle search,2018-08-01T02:10:00+00:00,False,,51.498473,0.004747,Male,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,,
Person search,2018-08-01T02:22:00+00:00,False,,51.452913,-0.142491,Male,,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,
Person search,2018-08-01T02:50:00+00:00,False,,51.463725,-0.218597,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest,,
Person search,2018-08-01T02:55:00+00:00,False,,51.463725,-0.218597,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,
Person search,2018-08-01T03:00:00+00:00,False,,51.603529,-0.333001,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2018-08-01T03:00:00+00:00,False,,51.603529,-0.333001,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2018-08-01T03:00:00+00:00,False,,51.488715,-0.219165,Male,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,
Person search,2018-08-01T03:00:00+00:00,False,,51.493521,-0.100216,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest,,
Person search,2018-08-01T03:00:00+00:00,False,,51.474597,-0.125727,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person and Vehicle search,2018-08-01T03:30:00+00:00,False,,51.590990,-0.309510,Male,18-24,Other ethnic group - Not stated,Asian,Firearms Act 1968 (section 47),Firearms,A no further action disposal,,
Person search,2018-08-01T03:30:00+00:00,False,,51.455419,-0.116408,Male,over 34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2018-08-01T03:30:00+00:00,False,,51.530142,-0.093761,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,
Person and Vehicle search,2018-08-01T03:30:00+00:00,False,,51.590990,-0.309510,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2018-08-01T03:45:00+00:00,False,,51.445097,-0.124330,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2018-08-01T03:48:00+00:00,False,,51.455419,-0.116408,Male,over 34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2018-08-01T03:53:00+00:00,False,,51.461004,-0.115876,Male,25-34,White - Any other White background,White,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,Arrest,,
Person and Vehicle search,2018-08-01T03:55:00+00:00,False,,51.457685,-0.124779,Male,over 34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
